asset_pair,wsname,asset,currency,time,tmsp,open_price,close_price,volume
ADAEUR,ADA/EUR,ADA,EUR,2019-09-27 02:00:00,1569542400,0.035074,0.035999,3860484.06907954
ADAEUR,ADA/EUR,ADA,EUR,2019-09-28 02:00:00,1569628800,0.035981,0.03538,2222421.29908193
ADAEUR,ADA/EUR,ADA,EUR,2019-09-29 02:00:00,1569715200,0.0355,0.03414,2218316.93185136
ADAEUR,ADA/EUR,ADA,EUR,2019-09-30 02:00:00,1569801600,0.034072,0.035689,4025452.59707104
ADAEUR,ADA/EUR,ADA,EUR,2019-10-01 02:00:00,1569888000,0.035695,0.035118,3216996.15067763
ADAEUR,ADA/EUR,ADA,EUR,2019-10-02 02:00:00,1569974400,0.03517,0.035936,1966224.13091241
ADAEUR,ADA/EUR,ADA,EUR,2019-10-03 02:00:00,1570060800,0.0361,0.035001,2745287.25083725
ADAEUR,ADA/EUR,ADA,EUR,2019-10-04 02:00:00,1570147200,0.03487,0.035962,2788317.672363
ADAEUR,ADA/EUR,ADA,EUR,2019-10-05 02:00:00,1570233600,0.035963,0.03624,1652142.25814508
ADAEUR,ADA/EUR,ADA,EUR,2019-10-06 02:00:00,1570320000,0.03625,0.03534,3776144.83832979
ADAEUR,ADA/EUR,ADA,EUR,2019-10-07 02:00:00,1570406400,0.03522,0.0379,7048427.61038719
ADAEUR,ADA/EUR,ADA,EUR,2019-10-08 02:00:00,1570492800,0.037899,0.037643,3029652.61185369
ADAEUR,ADA/EUR,ADA,EUR,2019-10-09 02:00:00,1570579200,0.037734,0.038804,5421685.6802726
ADAEUR,ADA/EUR,ADA,EUR,2019-10-10 02:00:00,1570665600,0.03871,0.038022,3255328.60410663
ADAEUR,ADA/EUR,ADA,EUR,2019-10-11 02:00:00,1570752000,0.037923,0.036448,3495165.70147941
ADAEUR,ADA/EUR,ADA,EUR,2019-10-12 02:00:00,1570838400,0.036392,0.036726,1397542.95182118
ADAEUR,ADA/EUR,ADA,EUR,2019-10-13 02:00:00,1570924800,0.036687,0.037472,1635357.82644808
ADAEUR,ADA/EUR,ADA,EUR,2019-10-14 02:00:00,1571011200,0.037496,0.037917,4083639.39039898
ADAEUR,ADA/EUR,ADA,EUR,2019-10-15 02:00:00,1571097600,0.03801,0.03599,4832331.38198568
ADAEUR,ADA/EUR,ADA,EUR,2019-10-16 02:00:00,1571184000,0.036013,0.034896,3645954.38205815
ADAEUR,ADA/EUR,ADA,EUR,2019-10-17 02:00:00,1571270400,0.034703,0.035419,3035574.20478792
ADAEUR,ADA/EUR,ADA,EUR,2019-10-18 02:00:00,1571356800,0.035378,0.034162,4870215.67583332
ADAEUR,ADA/EUR,ADA,EUR,2019-10-19 02:00:00,1571443200,0.034173,0.034951,4750938.92040997
ADAEUR,ADA/EUR,ADA,EUR,2019-10-20 02:00:00,1571529600,0.034937,0.035403,2886404.85942158
ADAEUR,ADA/EUR,ADA,EUR,2019-10-21 02:00:00,1571616000,0.035352,0.035161,1454610.28372038
ADAEUR,ADA/EUR,ADA,EUR,2019-10-22 02:00:00,1571702400,0.035111,0.034783,1820995.64359917
ADAEUR,ADA/EUR,ADA,EUR,2019-10-23 02:00:00,1571788800,0.034812,0.032662,7706827.15865534
